country,iso3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,population,population_million,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90
Afghanistan,AFG,Asia,Southern Asia,,,,,Asia,https://www.countryflags.io/af/flat/64.png,37172386,37.172386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0089672301,.0089672301,.0089672301,.0089672301,.02690169,.02690169,.01793446,0,0,0,0,.01793446,.01793446,.02690169,.0089672301,.044836149,.062770613,.062770613,.03586892,.0089672301,.03586892,.02690169,.053803381,.044836149,.062770613,.080705069,.094155915
Angola,AGO,Africa,Sub-Saharan Africa,Middle Africa,,,,Africa,https://www.countryflags.io/ao/flat/64.png,30809762,30.809761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.021638164,.021638164,.021638164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,Europe,Southern Europe,,,,,Europe,https://www.countryflags.io/al/flat/64.png,2866376,2.8663759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.11629087,.11629087,.11629087,0,0,0,0,.11629087,.11629087,.11629087,0,0,.23258173,.3488726,.3488726,.23258173,.3488726,.58145434,.46516347,.3488726,.58145434,.58145434,.58145434,.23258173,.58145434,.46516347,.46516347,.23258173,.23258173,.23258173,.11629087,.11629087,0,0,.11629087,.23258173,.3488726,.3488726
United Arab Emirates,ARE,Asia,Western Asia,,,,,Asia,https://www.countryflags.io/ae/flat/64.png,9630959,9.6309586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.069221213,.069221213,.069221213,0,0,0,0,0,0,.034610607,.10383183,.13844243,.17305304,.10383183,.10383183,.069221213,.069221213,.069221213,.069221213,.069221213,.10383183,.13844243,.27688485,.27688485,.31149548,.27688485,.38071668,.34610608,.3634114
Argentina,ARG,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ar/flat/64.png,44494502,44.494503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.007491562,.007491562,.007491562,0,0,.007491562,.007491562,.007491562,0,0,0,.007491562,.007491562,.014983124,.007491562,.007491562,.014983124,.029966248,.037457809,.052440934,.074915618,.074915618,.074915618,.067424059,.067424059,.097390309,.089898743,.11237343,.059932496,.067424059,.097390309,.14233968,.17979749,.19478062,.14983124,.13484812,.11237343,.14233968,.15732281,.13484812,.14608546
Armenia,ARM,Asia,Western Asia,,,,,Asia,https://www.countryflags.io/am/flat/64.png,2951776,2.951776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.11292636,.11292636,.11292636,.22585273,.22585273,.22585273,.11292636,.45170546,.45170546,.33877909,0,.11292636,.11292636,.22585273,.22585273,.45170546,.45170546,.33877909,.22585273,.33877909,.45170546,.45170546,.33877909
Australia,AUS,Oceania,Australia and New Zealand,,,,,Oceania,https://www.countryflags.io/au/flat/64.png,24982688,24.982689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.013342572,.013342572,.013342572,.013342572,.013342572,.013342572,0,.013342572,.013342572,.013342572,0,0,0,0,0,0,.026685145,.040027715,.040027715,.026685145,.013342572,.013342572,0,.013342572,.013342572,.080055431,.066712864,.080055431,.040027715,.05337029,.05337029,.05337029,.093398005,.13342573,.13342573,.1467683,.16011086,.20013858,.20013858,.1467683,.12008315,.093398005,.12008315,.093398005,.066712864,.040027715,.026685145,.020013858
Austria,AUT,Europe,Western Europe,,,,,Europe,https://www.countryflags.io/at/flat/64.png,8840521,8.8405209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.037705168,.037705168,.037705168,0,.075410336,.075410336,.1131155,.1131155,.1131155,.15082067,.37705168,.56557751,.75410336,.52787238,1.0557448,1.131155,1.4327965,1.3950913,1.8852584,2.26231,2.26231,1.8852584,1.5082067,1.5082067,1.7344378,1.9606688,2.1491947,2.6016567,2.8278878,2.865593,2.4131308,2.0737844,1.8475533,1.7721429,1.6213223,1.5836171,1.4705015
Azerbaijan,AZE,Asia,Western Asia,,,,,Asia,https://www.countryflags.io/az/flat/64.png,9939800,9.9398003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.033535216,.033535216,.033535216,0,0,0,0,0,0,0,0,0,.033535216,.067070432,.067070432,.067070432,.033535216,.033535216,.033535216,.033535216,.033535216,0,0,.067070432,.067070432,.10060564,.033535216,.067070432,.067070432,.10060564,.067070432,.067070432,.067070432,.067070432,.10060564,.10060564
Burundi,BDI,Africa,Sub-Saharan Africa,Eastern Africa,,,,Africa,https://www.countryflags.io/bi/flat/64.png,11175378,11.175378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.029827477,.029827477,.029827477,0,0
